model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
rung2ad_recipe,lidar,1.0,26456.xml,17.493383,24.76,0.706518,Failed - Agent got blocked,Town03,6,321.2,1311,30.6,0.923
rung2ad_recipe,lidar,1.0,26956.xml,14.071785,55.51,0.2535,Failed - Agent got blocked,Town05,14,855.0,3907,67.4,0.933
rung2ad_recipe,lidar,1.0,27515.xml,34.433,49.19,0.7,Failed - Agent deviated from the route,Town03,10,160.3,378,66.8,0.31
rung2ad_recipe,lidar,1.0,27532.xml,52.56,52.56,1.0,Failed - Agent deviated from the route,Town11,10,145.1,291,64.3,0.207
rung2ad_recipe,lidar,1.0,27582.xml,31.785331,54.13,0.587204,Failed - Agent deviated from the route,Town11,12,175.9,486,64.4,0.544
rung2ad_recipe,lidar,1.0,28035.xml,13.353306,100,0.133533,Completed,Town01,24,320.5,995,122.1,0.43
rung2ad_recipe,lidar,1.0,28154.xml,59.56,59.56,1.0,Failed - Agent deviated from the route,Town10HD,12,245.6,553,112.7,0.228
rung2ad_recipe,camera,1.0,10857.xml,53.98,53.98,1.0,Failed - Agent deviated from the route,Town12,10,248.4,241,67.9,0.042
rung2ad_recipe,camera,1.0,11715.xml,22.846463,42.63,0.535925,Failed - Agent deviated from the route,Town12,10,148.0,202,64.0,0.05
rung2ad_recipe,camera,1.0,11755.xml,12.1338,48.15,0.252,Failed - Agent deviated from the route,Town12,11,175.2,277,68.2,0.036
rung2ad_recipe,camera,1.0,14194.xml,14.217,47.39,0.3,Failed - Agent deviated from the route,Town12,11,241.5,289,63.9,0.076
rung2ad_recipe,camera,1.0,23901.xml,68.953311,100,0.689533,Completed,Town13,21,311.5,409,159.2,0.025
rung2ad_recipe,camera,1.0,24071.xml,100.0,100,1.0,Completed,Town13,21,181.4,278,154.5,0.202
rung2ad_recipe,camera,1.0,24092.xml,100.0,100,1.0,Completed,Town13,20,143.4,198,150.3,0.051
rung2ad_recipe,camera,1.0,24224.xml,50.0,100,0.5,Completed,Town02,21,162.0,328,132.6,0.031
rung2ad_recipe,camera,1.0,24258.xml,36.0,100,0.36,Completed,Town07,21,494.9,1652,134.3,0.644
rung2ad_recipe,camera,1.0,24294.xml,41.186373,100,0.411864,Completed,Town02,21,126.0,268,102.7,0.037
rung2ad_recipe,camera,1.0,24340.xml,23.7159,60.81,0.39,Failed - Agent got blocked,Town10HD,13,530.7,1457,76.6,0.83
rung2ad_recipe,camera,1.0,24795.xml,100.0,100,1.0,Completed,Town04,20,155.1,370,143.2,0.027
