model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
post31,none,0,24330.xml,17.067031,100,0.17067,Completed,Town10HD,23,215.0,560,96.9,0.379
rung2a_recipe,none,0,24330.xml,60.0,100,0.6,Completed,Town10HD,20,199.3,554,98.0,0.396
rung2ad_recipe,none,0,24330.xml,36.0,100,0.36,Completed,Town10HD,21,213.7,592,96.9,0.382
rung3_recipe,none,0,24330.xml,2.042457,100,0.020425,Completed,Town10HD,26,677.8,1527,96.8,0.619
ref0,none,0,24330.xml,100.0,100,1.0,Completed,Town10HD,19,287.8,566,100.9,0.358
post31,none,0,24333.xml,50.0,100,0.5,Completed,Town15,19,213.3,419,132.1,0.024
rung2a_recipe,none,0,24333.xml,50.0,100,0.5,Completed,Town15,19,191.5,425,132.0,0.024
rung2ad_recipe,none,0,24333.xml,50.0,100,0.5,Completed,Town15,19,193.1,419,132.3,0.024
rung3_recipe,none,0,24333.xml,38.489464,71.3,0.539824,Failed - Agent got blocked,Town15,14,558.9,1498,96.7,0.81
ref0,none,0,24333.xml,100.0,100,1.0,Completed,Town15,18,218.8,499,132.3,0.145
post31,none,0,24367.xml,26.892899,93.94,0.286277,Failed - Agent got blocked,Town06,19,712.6,1730,127.1,0.756
rung2a_recipe,none,0,24367.xml,100.0,100,1.0,Completed,Town06,18,226.8,450,134.1,0.022
rung2ad_recipe,none,0,24367.xml,100.0,100,1.0,Completed,Town06,18,220.6,439,135.2,0.027
rung3_recipe,none,0,24367.xml,100.0,100,1.0,Completed,Town06,18,211.5,406,134.0,0.027
ref0,none,0,24367.xml,100.0,100,1.0,Completed,Town06,18,262.8,573,133.5,0.108
post31,none,0,24757.xml,23.058,38.43,0.6,Failed - TickRuntime,Town06,8,1482.0,3999,53.2,0.961
rung2a_recipe,none,0,24757.xml,33.93,33.93,1.0,Failed - TickRuntime,Town06,6,1441.4,3999,45.5,0.965
rung2ad_recipe,none,0,24757.xml,100.0,100,1.0,Completed,Town06,21,157.5,299,133.9,0.034
rung3_recipe,none,0,24757.xml,60.0,100,0.6,Completed,Town06,22,158.2,304,133.8,0.033
ref0,none,0,24757.xml,100.0,100,1.0,Completed,Town06,21,172.1,352,135.0,0.066
post31,none,0,24759.xml,55.394219,100,0.553942,Completed,Town05,22,174.1,385,134.6,0.026
rung2a_recipe,none,0,24759.xml,100.0,100,1.0,Completed,Town05,20,180.0,425,134.6,0.045
rung2ad_recipe,none,0,24759.xml,32.983106,100,0.329831,Completed,Town05,23,167.7,367,134.2,0.027
rung3_recipe,none,0,24759.xml,54.933636,100,0.549336,Completed,Town05,22,167.7,365,134.8,0.027
ref0,none,0,24759.xml,100.0,100,1.0,Completed,Town05,20,183.6,435,135.3,0.035
post31,none,0,24781.xml,100.0,100,1.0,Completed,Town01,18,458.9,1060,128.4,0.503
rung2a_recipe,none,0,24781.xml,21.6,100,0.216,Completed,Town01,21,456.6,1016,129.4,0.469
rung2ad_recipe,none,0,24781.xml,65.0,100,0.65,Completed,Town01,19,642.5,1548,128.5,0.679
rung3_recipe,none,0,24781.xml,81.259012,100,0.81259,Completed,Town01,19,324.0,672,129.8,0.356
ref0,none,0,24781.xml,100.0,100,1.0,Completed,Town01,18,467.0,1058,128.6,0.504
post31,none,0,24784.xml,29.068,44.72,0.65,Failed - Agent got blocked,Town02,9,418.6,1366,47.2,0.886
rung2a_recipe,none,0,24784.xml,29.068,44.72,0.65,Failed - Agent got blocked,Town02,9,437.7,1362,47.8,0.89
rung2ad_recipe,none,0,24784.xml,11.337292,100,0.113373,Completed,Town02,24,332.0,978,108.2,0.54
rung3_recipe,none,0,24784.xml,50.4985,77.69,0.65,Failed - Agent got blocked,Town02,15,416.2,1470,80.8,0.84
ref0,none,0,24784.xml,100.0,100,1.0,Completed,Town02,19,77.6,215,102.5,0.047
post31,none,0,24785.xml,65.0,100,0.65,Completed,Town04,21,143.2,432,145.6,0.06
rung2a_recipe,none,0,24785.xml,100.0,100,1.0,Completed,Town04,20,137.9,408,144.4,0.049
rung2ad_recipe,none,0,24785.xml,100.0,100,1.0,Completed,Town04,20,143.0,418,143.0,0.041
rung3_recipe,none,0,24785.xml,65.0,100,0.65,Completed,Town04,21,129.1,366,143.9,0.027
ref0,none,0,24785.xml,100.0,100,1.0,Completed,Town04,20,138.8,417,145.0,0.036
post31,none,0,24816.xml,28.746021,93.61,0.307083,Failed - TickRuntime,Town03,19,1133.3,3999,122.7,0.891
rung2a_recipe,none,0,24816.xml,50.45655,82.42,0.612188,Failed - TickRuntime,Town03,16,1404.1,3999,105.9,0.902
rung2ad_recipe,none,0,24816.xml,39.26,39.26,1.0,Failed - TickRuntime,Town03,7,1461.3,3999,49.4,0.955
rung3_recipe,none,0,24816.xml,46.301584,100,0.463016,Completed,Town03,21,230.8,500,128.1,0.118
ref0,none,0,24816.xml,60.0,100,0.6,Completed,Town03,20,263.5,612,127.3,0.205
post31,none,0,25318.xml,31.86,31.86,1.0,Failed - TickRuntime,Town05,5,1488.5,3999,46.1,0.96
rung2a_recipe,none,0,25318.xml,31.86,31.86,1.0,Failed - TickRuntime,Town05,5,1496.4,3999,45.4,0.96
rung2ad_recipe,none,0,25318.xml,16.815404,34.15,0.492398,Failed - TickRuntime,Town05,8,1553.0,3999,50.6,0.958
rung3_recipe,none,0,25318.xml,20.49,34.15,0.6,Failed - TickRuntime,Town05,7,1639.5,3999,49.7,0.951
ref0,none,0,25318.xml,100.0,100,1.0,Completed,Town05,18,241.3,549,142.5,0.08
post31,none,0,25358.xml,6.660643,54.83,0.121478,Failed - Agent deviated from the route,Town06,13,122.3,198,60.7,0.051
rung2a_recipe,none,0,25358.xml,5.056522,42.75,0.118281,Failed - Agent deviated from the route,Town06,12,188.1,386,63.8,0.286
rung2ad_recipe,none,0,25358.xml,25.69708,100,0.256971,Completed,Town06,22,425.4,988,135.7,0.597
rung3_recipe,none,0,25358.xml,19.308,32.18,0.6,Failed - Agent got blocked,Town06,7,580.7,1406,45.9,0.87
ref0,none,0,25358.xml,100.0,100,1.0,Completed,Town06,19,184.8,465,138.3,0.034
post31,none,0,25378.xml,100.0,100,1.0,Completed,Town03,19,113.1,248,95.7,0.04
rung2a_recipe,none,0,25378.xml,70.0,100,0.7,Completed,Town03,20,114.6,256,95.5,0.039
rung2ad_recipe,none,0,25378.xml,70.0,100,0.7,Completed,Town03,20,112.0,239,95.7,0.042
rung3_recipe,none,0,25378.xml,70.0,100,0.7,Completed,Town03,20,117.1,254,95.5,0.04
ref0,none,0,25378.xml,70.0,100,0.7,Completed,Town03,20,123.6,292,95.3,0.113
post31,none,0,25381.xml,100.0,100,1.0,Completed,Town05,20,163.2,387,136.5,0.026
rung2a_recipe,none,0,25381.xml,36.0,100,0.36,Completed,Town05,22,168.2,396,134.5,0.025
rung2ad_recipe,none,0,25381.xml,34.380373,100,0.343804,Completed,Town05,23,172.1,374,134.5,0.027
rung3_recipe,none,0,25381.xml,100.0,100,1.0,Completed,Town05,20,213.8,365,135.2,0.027
ref0,none,0,25381.xml,100.0,100,1.0,Completed,Town05,20,243.6,442,135.6,0.107
post31,none,0,25383.xml,100.0,100,1.0,Completed,Town15,18,208.1,368,138.4,0.027
rung2a_recipe,none,0,25383.xml,21.756,36.26,0.6,Failed - TickRuntime,Town15,7,1773.7,3999,51.7,0.964
rung2ad_recipe,none,0,25383.xml,60.0,100,0.6,Completed,Town15,19,229.2,368,138.5,0.027
rung3_recipe,none,0,25383.xml,100.0,100,1.0,Completed,Town15,18,189.5,370,138.4,0.027
ref0,none,0,25383.xml,100.0,100,1.0,Completed,Town15,18,270.2,495,139.4,0.136
post31,none,0,25424.xml,42.25,100,0.4225,Completed,Town11,21,171.7,340,107.5,0.133
rung2a_recipe,none,0,25424.xml,100.0,100,1.0,Completed,Town11,19,171.6,395,107.5,0.102
rung2ad_recipe,none,0,25424.xml,100.0,100,1.0,Completed,Town11,19,172.5,397,108.0,0.104
rung3_recipe,none,0,25424.xml,100.0,100,1.0,Completed,Town11,19,172.8,398,107.9,0.091
ref0,none,0,25424.xml,100.0,100,1.0,Completed,Town11,19,177.2,436,108.6,0.124
post31,none,0,25863.xml,35.0,100,0.35,Completed,Town07,19,156.5,323,84.5,0.053
rung2a_recipe,none,0,25863.xml,35.0,100,0.35,Completed,Town07,19,150.4,324,84.4,0.046
rung2ad_recipe,none,0,25863.xml,70.0,100,0.7,Completed,Town07,18,200.4,465,84.2,0.254
rung3_recipe,none,0,25863.xml,70.0,100,0.7,Completed,Town07,18,182.1,399,84.4,0.274
ref0,none,0,25863.xml,100.0,100,1.0,Completed,Town07,17,298.8,796,84.2,0.597
post31,none,0,25865.xml,25.181712,100,0.251817,Completed,Town11,21,972.7,3677,115.1,0.854
rung2a_recipe,none,0,25865.xml,100.0,100,1.0,Completed,Town11,18,211.9,547,102.1,0.388
rung2ad_recipe,none,0,25865.xml,100.0,100,1.0,Completed,Town11,18,181.4,423,102.1,0.111
rung3_recipe,none,0,25865.xml,81.969607,100,0.819696,Completed,Town11,19,166.8,315,102.2,0.032
ref0,none,0,25865.xml,100.0,100,1.0,Completed,Town11,18,176.2,431,102.5,0.065
post31,none,0,25896.xml,17.0365,26.21,0.65,Failed - TickRuntime,Town03,5,1563.9,3999,41.1,0.967
rung2a_recipe,none,0,25896.xml,10.426051,24.76,0.421084,Failed - TickRuntime,Town03,6,1675.1,3999,31.8,0.974
rung2ad_recipe,none,0,25896.xml,14.202863,26.21,0.541887,Failed - TickRuntime,Town03,6,1463.2,3999,34.7,0.969
rung3_recipe,none,0,25896.xml,6.776073,26.21,0.25853,Failed - TickRuntime,Town03,7,1141.1,3999,34.5,0.967
