26-10-13 10:12:17 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:17 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:17 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:17 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:17 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:17 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:18 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:18 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:18 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:18 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:18 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:18 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:18 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:19 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:19 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:20 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:20 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:21 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:22 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:27 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:27 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:27 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:28 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:28 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:29 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:30 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:30 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:31 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:31 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:31 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:31 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:31 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:31 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:31 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
